Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевая стойка Timo Saga SK-1018 chrome;https://www.aquanet.ru/product/dushevaya_stoyka_timo_saga_sk_1018_chrome/;SK-1018 chrome;Timo;Главная @ Душевые системы @ Душевые стойки ;Saga;Душевая стойка;Для душа;;На стену;260;1018;432;Латунь;Модерн;Хром;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Нет;260;05.май;
Душевая стойка Timo Sahara SX-1115/00 new;https://www.aquanet.ru/product/dushevaya_stoyka_timo_sahara_sx_1115_00_new/;SX-1115/00 new;Timo;Главная @ Душевые системы @ Душевые стойки ;Sahara;Душевая стойка;Для душа;Однорычажное;На стену;;;498;Латунь;Модерн;Хром;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;;;Финляндия;Да;;;Нет;220;июл.94;
Душевой комплект Timo Selene SX-3069/00SM (1113);https://www.aquanet.ru/product/dushevoy_garnitur_timo_selene_sx_3069_00sm_1113/;SX-3069/00SM (1113);Timo;Главная @ Душевые системы @ Душевые комплекты ;Selene;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;;Латунь;Модерн;Хром;4;Поворотный;Традиционная;181;Да;Есть;;;;;Финляндия;;;;;;4;
Душевая стойка Timo Tetra-thermo SX- 0169/00;https://www.aquanet.ru/product/dushevaya_stoyka_timo_tetra_thermo_sx_0169_00/;SX-0169/00;Timo;Главная @ Душевые системы @ Душевые стойки ;Tetra-thermo;Душевая стойка;Для душа;Термостат;На стену;230;1400;435;Латунь;Модерн;Хром;3;Поворотный;Традиционная;165;Да;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Да;230;06.фев;
Душевой комплект Timo Selene SX-2069/00SM (1013);https://www.aquanet.ru/product/dushevoy_garnitur_timo_selene_sx_2069_00sm_1013/;SX-2069/00SM (1013);Timo;Главная @ Душевые системы @ Душевые комплекты ;Selene;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;;Латунь;Модерн;Хром;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;мар.25;
Душевой комплект Timo Helmi SX-4069/00-16SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_helmi_sx_4069_00_16sm/;SX-4069/00-16SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Helmi;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;240;;470;Латунь;Модерн;Хром/белый;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;03.авг;
Душевой комплект Timo Petruma SX-5029/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_petruma_sx_5029_00sm_/;SX-5029/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Petruma;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;500;;500;Латунь;Модерн;Хром;4;;;;Да;Есть;;;;;Финляндия;;;;;;11.июл;
Душевой комплект Timo Tetra-thermo SX-0199/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_tetra_thermo_sx_0199_00sm/;SX-0199/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Tetra-thermo;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;;Латунь;Модерн;Хром;4;Поворотный;Традиционная;160;Да;Есть;;;;;Финляндия;;;;;;05.май;
Душевая стойка Timo Selene SX-1041/00;https://www.aquanet.ru/product/dushevaya_stoyka_timo_selene_sx_1041_00/;SX-1041/00;Timo;Главная @ Душевые системы @ Душевые стойки ;Selene;Душевая стойка;Для душа;Однорычажное;На стену;;1400;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;;;Финляндия;Да;;;Нет;240;май.46;
Душевой гарнитур Hansgrohe Croma Select E Vario 26413400;https://www.aquanet.ru/product/dushevoy_garnitur_hansgrohe_croma_select_e_vario_26413400/;26413400;Hansgrohe;Главная @ Душевые системы @ Душевые гарнитуры ;Croma;Душевой гарнитур;Для душа;;На стену;110;240;146;Пластик;Модерн;Хром;1;;;;Нет;Есть;;;1600;1600;Германия;;;;;;0.778;
Душевая стойка Timo Nelson SX-1190 chrome;https://www.aquanet.ru/product/dushevaya_stoyka_timo_nelson_sx_1190_chrome_/;SX-1190 chrome;Timo;Главная @ Душевые системы @ Душевые стойки ;Nelson;Душевая стойка;Для душа;Двухвентильное;На стену;;1200;;Латунь;Модерн;Хром;3;Поворотный;Традиционная;100;Да;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Нет;160;06.май;
Душевой комплект Timo Petruma SX-5049/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_petruma_sx_5049_00sm/;SX-5049/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Petruma;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;250;;465;Латунь;Модерн;Хром;5;Фиксированный;Традиционная;235;Да;Есть;;;1500;1500;Финляндия;;;;;;8;
Верхний душ Timo SW-1113 (Т) chrome;https://www.aquanet.ru/product/verkhniy_dush_timo_sw_1113_t_chrome/;SW-1113 (T) chrome;Timo;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На стену;220;;220;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Финляндия;Да;;;;220;0.56;
Душевой комплект Timo Petruma SX-5159/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_petruma_sx_5159_00sm/;SX-5159/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Petruma;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;250;;465;Латунь;Модерн;Хром;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;06.фев;
Душевой комплект Timo Petruma SX-5059/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_petruma_sx_5059_00sm/;SX-5059/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Petruma;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;250;;465;Латунь;Модерн;Хром;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;06.фев;
Душевая стойка Timo Beverly SX-1060/02;https://www.aquanet.ru/product/dushevaya_stoyka_timo_beverly_sx_1060_02/;SX-1060/02;Timo;Главная @ Душевые системы @ Душевые стойки ;Beverly;Душевая стойка;Для душа;Однорычажное;На стену;260;1400;;Латунь;Модерн;Антик;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;;;Финляндия;Да;;;Нет;260;июн.59;
Душевой комплект Timo Helmi SX-4059/00-16SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_helmi_sx_4059_00_16sm/;SX-4059/00-16SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Helmi;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;195;Латунь;Модерн;Хром/белый;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;03.май;
Душевой гарнитур Timo SR-7011 chrome;https://www.aquanet.ru/product/dushevoy_garnitur_timo_sr_7011_chrome/;SR-7011 chrome;Timo;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;;705;;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;1500;1500;Финляндия;;;;;;янв.35;
Душевая стойка Timo Nelson SX-1290/00;https://www.aquanet.ru/product/dushevaya_stoyka_timo_nelson_sx_1290_00/;SX-1290/00;Timo;Главная @ Душевые системы @ Душевые стойки ;Nelson;Душевая стойка;Для душа;Двухвентильное;На стену;;1409;573;Латунь;Модерн;Хром;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Нет;160;06.июн;
Душевой комплект Timo Tetra-thermo SX-0179/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_tetra_thermo_sx_0179_00sm/;SX-0179/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Tetra-thermo;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;230;;475;Латунь;Модерн;Хром;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;5;
Душевая стойка Timo Helmi SX- 1070/00-16 (1060);https://www.aquanet.ru/product/dushevaya_stoyka_timo_helmi_sx_1070_00_16_1060/;SX-1070/00-16 (1060);Timo;Главная @ Душевые системы @ Душевые стойки ;Helmi;Душевая стойка;Для душа;Однорычажное;На стену;;1300;535;Латунь;Модерн;Хром/белый;3;Фиксированный;Традиционная;187;Да;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Нет;260;06.сен;
Душевая стойка Timo Helmi SX- 1070/00-16;https://www.aquanet.ru/product/dushevaya_stoyka_timo_helmi_sx_1070_00_16/;SX-1070/00-16;Timo;Главная @ Душевые системы @ Душевые стойки ;Helmi;Душевая стойка;Для душа;Однорычажное;На стену;;1300;535;Латунь;Модерн;Хром/белый;3;Фиксированный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Нет;240;06.июн;
Душевой комплект Timo Halti SX-4100/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_halti_sx_4100_00sm/;SX-4100/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Halti;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;;Латунь;Модерн;Хром;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;04.май;
Верхний душ Timo SW-1060 (Т) chrome;https://www.aquanet.ru/product/verkhniy_dush_timo_sw_1060_t_chrome/;SW-1060 (T) chrome;Timo;Главная @ Душевые системы @ Верхние души ;;Верхний душ;Для душа;;На стену;260;;260;Пластик;Модерн;Хром;;;;;;;;01.фев;;;Финляндия;Да;;;;260;0.63;
Душевой комплект Timo Helmi SX-4069/00-16SM (412);https://www.aquanet.ru/product/dushevoy_garnitur_timo_helmi_sx_4069_00_16sm_412/;SX-4069/00-16SM (412);Timo;Главная @ Душевые системы @ Душевые комплекты ;Helmi;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;230;;465;Латунь;Модерн;Хром/белый;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;03.сен;
Душевой гарнитур Timo SR-7013 chrome;https://www.aquanet.ru/product/dushevoy_garnitur_timo_sr_7013_chrome/;SR-7013 chrome;Timo;Главная @ Душевые системы @ Душевые гарнитуры ;;Душевой гарнитур;Для душа;;На стену;;665;;Латунь;Модерн;Хром;2;;;;Нет;Есть;;;;;Финляндия;;;;;;янв.54;
Душевой комплект Timo Nelson SX-1391/02SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_nelson_sx_1391_02sm/;SX-1391/02SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Nelson;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;450;Латунь;Модерн;Антик;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;06.сен;
Душевой комплект Timo Nelson SX-1390/00SM;https://www.aquanet.ru/product/dushevoy_garnitur_timo_nelson_sx_1390_00sm/;SX-1390/00SM;Timo;Главная @ Душевые системы @ Душевые комплекты ;Nelson;Душевой комплект;Для душа;;Скрытая (встраиваемая) / На стену;;;450;Латунь;Модерн;Хром;4;;;;Да;Есть;;;1500;1500;Финляндия;;;;;;06.сен;
Душевая стойка Timo Nelson SX-1090 antique;https://www.aquanet.ru/product/dushevaya_stoyka_timo_nelson_sx_1090_antique_/;SX-1090 antique;Timo;Главная @ Душевые системы @ Душевые стойки ;Nelson;Душевая стойка;Для душа;Двухвентильное;На стену;;1688;403;Латунь;Модерн;Антик;3;Поворотный;Традиционная;;Да;Есть;Есть;01.фев;1500;1500;Финляндия;Да;;;Нет;160;июн.99;
